-,1,6,-
-,2,7,0
-,3,7,1
-,4,8,2
-,5,8,3
-,-,9,4
-,0,11,10
1,2,13,12
3,4,15,14
5,-,17,16
6,11,18,-
6,12,19,10
7,13,19,11
7,14,20,12
8,15,20,13
8,16,21,14
9,-,21,15
9,-,22,16
-,10,24,23
11,12,26,25
13,14,28,27
15,16,30,29
17,-,32,31
18,24,33,-
18,25,34,23
19,26,34,24
19,27,35,25
20,28,35,26
20,29,36,27
21,30,36,28
21,31,37,29
22,32,37,30
22,-,38,31
-,23,39,-
24,25,41,40
26,27,43,42
28,29,45,44
30,31,47,46
32,-,-,48
33,40,45,-
34,41,49,39
34,42,50,40
35,43,50,41
35,44,51,42
36,45,51,43
36,46,52,44
37,47,52,45
37,48,53,46
38,-,53,47
39,40,54,-
41,42,56,55
43,44,58,57
45,46,60,59
47,48,-,61
45,55,62,-
50,56,62,54
50,57,63,55
51,58,63,56
51,59,64,57
52,60,64,58
52,61,65,59
53,-,65,60
54,55,66,-
56,57,68,67
58,59,70,69
60,61,-,71
62,67,-,-
63,68,-,66
63,69,-,67
64,70,-,68
64,71,-,69
65,-,-,70
